name	symbol	factor	ft/m	approximate/exact	source
meter	m	1	m	exact	todo: add source
ångström|angstrom	Å	1e-10	m	exact	todo: add source
astronomical unit	au	149597870700	m	exact	todo: add source
attometer|attometre	am	1e-18	m	exact	todo: add source
barleycorn		0.03125	ft	exact	todo: add source
bohr	a₀	5.2917721054482e-11	m	approximate	todo: add source
cable length (imperial)		608	ft	exact	todo: add source
cable length (international)		185.2	m	exact	todo: add source
cable length (US)		720	ft	exact	todo: add source
chain (Gunter's; Surveyor's)	ch	66	ft	exact	todo: add source
cubit		1.5	ft	approximate	todo: add source
ell		3.75	ft	exact	todo: add source
fathom	ftm	6	ft	exact	todo: add source
femtometer|femtometre|fermi	fm	1e-15	m	exact	todo: add source
finger		7/96	ft	exact	todo: add source
finger (cloth)		0.375	ft	exact	todo: add source
